year,month,day,author,text_it,month_string
2021,8,3,Holy Mary,,August
2021,8,7,Holy Mary,,August
2021,8,11,Holy Mary,,August
2021,8,15,Holy Mary,,August
2021,8,17,Holy Mary,,August
2021,8,21,Holy Mary,,August
2021,8,24,Holy Mary,,August
2021,8,28,Holy Mary,,August
2021,8,31,Holy Mary,,August
