year,month,day,author,text_it,month_string,text_pl,text_en,text_es,text_fr,text_zh,text_de,text_pt
2021,12,3,Holy Mary,,,,,,,,,
2021,12,7,Holy Mary,,,,,,,,,
2021,12,8,Holy Mary,,,,,,,,,
2021,12,13,Jesus Christ,,,,,,,,,
2021,12,21,Holy Mary,,,,,,,,,
2021,12,28,Holy Mary,,,,,,,,,
2021,12,29,Holy Mary,,,,,,,,,
