year,month,day,author,text_it,month_string,text_pl,text_en,text_es,text_fr,text_zh,text_de,text_pt
2021,10,3,Holy Mary,,,,,,,,,
2021,10,6,Holy Mary,,,,,,,,,
2021,10,9,Holy Mary,,,,,,,,,
2021,10,12,Holy Mary,,,,,,,,,
2021,10,16,Holy Mary,,,,,,,,,
2021,10,19,Jesus Christ,,,,,,,,,
2021,10,23,Holy Mary,,,,,,,,,
2021,10,26,Holy Mary,,,,,,,,,
2021,10,30,Holy Mary,,,,,,,,,
