year,month,day,author,text_it,month_string,text_pl,text_en,text_es,text_fr,text_zh,text_de,text_pt
2022,4,5,Holy Mary,,April,,,,,,,
2022,4,3,Holy Mary,,April,,,,,,,
2022,4,8,Jesus Christ,,April,,,,,,,
2022,4,12,Holy Mary,,April,,,,,,,
2022,4,16,Holy Mary,,April,,,,,,,
2022,4,19,Holy Mary,,April,,,,,,,
2022,4,21,Holy Mary,,April,,,,,,,
2022,4,23,Holy Mary,,April,,,,,,,
2022,4,26,Jesus Christ,,April,,,,,,,
2022,4,30,Holy Mary,,April,,,,,,,
