year,month,day,author,text_it,month_string,text_pl,text_en,text_es,text_fr,text_zh,text_de,text_pt
2022,7,3,Holy Mary,,July,,,,,,,
2022,7,5,Holy Mary,,July,,,,,,,
2022,7,9,Holy Mary,,July,,,,,,,
2022,7,15,Jesus Christ,,July,,,,,,,
2022,7,16,Holy Mary,,July,,,,,,,
2022,7,19,Holy Mary,,July,,,,,,,
2022,7,23,Holy Mary,,July,,,,,,,
2022,7,24,Holy Mary,,July,,,,,,,
2022,7,30,Holy Mary,,July,,,,,,,
