word,occurence
 freedom ,3
 Scriptures ,6
 path ,38
 bleed ,8
 brick ,2
 fall ,24
 matter ,2
 mocked ,1
 soothe ,1
 storm ,5
 forgive ,15
 confess ,9
 divided ,2
 men ,15
 women ,2
 front ,10
 line ,1
 asked ,18
 find ,30
 shelters ,4
 refuges ,2
 hide ,3
 predicted ,10
 angels ,30
 Daughter ,2
 tell ,25
 trumpets ,4
 sounded ,1
 remains ,1
 strengthen ,10
 division ,4
 begun ,10
 Middle ,1
 East ,1
 Syria ,2
 involve ,2
 Russia ,25
 America ,36
 How ,17
 land ,11
 flooded ,1
 sin ,17
 heads ,7
 government ,2
 compromise ,1
 instead ,7
 chose ,3
 repent ,10
 heading ,2
 others ,6
 lacking ,3
 covered ,3
 protected ,8
 Mantle ,2
 fill ,4
 cry ,35
 fire ,17
 purification ,19
 believers ,3
 wrongdoers ,1
 deny ,1
 greatly ,3
 hastened ,1
 also ,43
 glad ,1
 near ,18
 warned ,3
 grasp ,2
 facing ,3
 violence ,2
 blasphemy ,3
 accept ,3
 tenacity ,1
 repaid ,1
 multitudes ,1
 midst ,5
 spiritual ,7
 battle ,13
 experienced ,1
 steadfast ,2
 comes ,9
 part ,13
 forget ,9
 greater ,5
 heaven ,61
 whoever ,24
 first ,11
 consoler ,1
 One ,9
 victorious ,4
 quickly ,7
 Wherever ,1
 hesitation ,1
 prophets ,7
 Always ,17
 courage ,35
 Faith ,24
 Everything ,10
 remnant ,5
 allows ,4
 possibility ,4
 thank ,22
 Eastern ,1
 Europe ,8
 nations ,5
 kneel ,12
 often ,22
 sacrifices ,7
 send ,13
 wherever ,3
 possible ,16
 husband ,4
 turn ,14
 volume ,1
 television ,1
 turned ,12
 statue ,2
 placed ,1
 dresser ,1
 saw ,3
 Madonna ,5
 wrapped ,4
 white ,8
 veil ,2
 blue ,6
 cloak ,2
 said ,22
 Our ,44
 Lady ,37
 instinctively ,1
 foot ,3
 bed ,2
 Smiling ,1
 Virgin ,4
 hope ,15
 founded ,2
 close ,38
 doors ,6
 everyone ,31
 learn ,4
 son ,28
 return ,37
 referring ,1
 family ,10
 presence ,21
 apparition ,7
 members ,1
 house ,7
 heard ,6
 sound ,5
 bells ,1
 shown ,2
 accepting ,3
 Listen ,10
 tells ,1
 resist ,3
 Meditate ,1
 mother ,23
 wants ,23
 pour ,1
 Accept ,2
 Help ,4
 get ,30
 Creator ,2
 bleeding ,4
 clouded ,1
 eternity ,1
 cold ,4
 night ,5
 believe ,65
 insist ,5
 asking ,7
 recite ,7
 rosary ,20
 teaches ,1
 head ,8
 glory ,8
 Satan ,43
 stop ,14
 taking ,21
 worry ,5
 next ,13
 wrong ,4
 difficulty ,3
 especially ,46
 Pope ,10
 choices ,2
 decided ,2
 Dont ,8
 praying ,7
 occasion ,5
 prayed ,5
 Aramaic ,1
 present ,32
 recitation ,11
 Rosary ,51
 You ,46
 tempted ,8
 strong ,47
 overcome ,5
 During ,4
 held ,8
 arms ,17
 heavenly ,3
 mantle ,15
 hurry ,4
 Your ,12
 names ,3
 engraved ,1
 reward ,3
 favored ,1
 plans ,5
 touch ,16
 needy ,2
 families ,36
 sends ,2
 Kneel ,1
 Thanks ,11
 looking ,4
 Thank ,18
 welcoming ,4
 right ,14
 With ,3
 mothers ,2
 receive ,3
 Please ,21
 deaf ,3
 Tell ,1
 homes ,28
 streets ,3
 forgives ,2
 Then ,7
 adds ,5
 After ,7
 France ,15
 Rome ,14
 earthquake ,13
 Vatican ,9
 Within ,1
 moment ,40
 Cardinals ,6
 bishops ,17
 forced ,9
 moving ,2
 leads ,15
 winds ,6
 preparing ,7
 Pestilence ,1
 misery ,1
 smallpox ,1
 despair ,9
 message ,4
 points ,1
 sun ,5
 several ,3
 three ,6
 cardinals ,7
 added ,3
 pontificate ,1
 days ,11
 blessed ,29
 candles ,7
 keep ,18
 lit ,7
 touched ,11
 demons ,20
 requests ,3
 complete ,4
 task ,3
 entrusted ,5
 luminous ,5
 rays ,4
 repeating ,1
 When ,6
 necessary ,3
 care ,6
 needs ,8
 Someone ,1
 wonders ,9
 answer ,6
 simple ,4
 Queen ,8
 example ,3
 couples ,1
 Peace ,13
 infiltrated ,1
 destroyed ,13
 winning ,1
 powerful ,21
 weapon ,11
 intensify ,3
 Rosaries ,1
 tight ,2
 picture ,1
 Divine ,4
 exuded ,1
 abundantly ,1
 arousing ,1
 amazement ,1
 devotion ,3
 testimony ,4
 attention ,11
 defeatist ,1
 embrace ,14
 dry ,6
 satan ,15
 attack ,6
 Gisella ,4
 caress ,2
 given ,13
 still ,58
 hand ,25
 pitfalls ,3
 Eucharist ,43
 Bring ,2
 young ,9
 cloud ,2
 tighten ,1
 defend ,5
 For ,2
 Hail ,3
 Mary ,8
 divulge ,1
 received ,1
 far ,8
 meditate ,3
 gathered ,11
 gift ,7
 wisdom ,2
 knowledge ,2
 waiting ,12
 Kingdom ,5
 cling ,5
 defeat ,2
 continually ,3
 hunting ,1
 Earth ,4
 purify ,3
 becomes ,1
 difficult ,9
 tired ,4
 World ,1
 War ,2
 brewing ,4
 calm ,7
 She ,11
 frighten ,4
 Those ,2
 finally ,9
 Open ,8
 infuse ,3
 alleviate ,1
 pains ,12
 tribulation ,13
 await ,7
 Brazil ,2
 drink ,9
 bitter ,8
 cup ,8
 beside ,21
 strongest ,1
 feet ,3
 seen ,4
 invoked ,4
 towards ,20
 says ,5
 useless ,5
 last ,22
 invoke ,21
 figure ,1
 command ,2
 withdraw ,2
 shower ,1
 colored ,1
 confetti ,1
 happy ,6
 bishop ,1
 came ,5
 paths ,3
 trace ,1
 cannot ,15
 diverted ,4
 blown ,1
 hearing ,2
 Chile ,7
 Scientists ,1
 gagged ,1
 ahead ,5
 attended ,1
 seek ,4
 answers ,1
 opened ,7
 dinner ,1
 celebrate ,3
 August ,1
 talking ,1
 table ,1
 raising ,3
 sky ,24
 appeared ,5
 dressed ,5
 crown ,2
 red ,7
 gave ,1
 reconciliation ,2
 Graces ,10
 Trinity ,32
 third ,2
 Seal ,1
 vision ,2
 represented ,1
 knight ,1
 black ,2
 sword ,2
 horse ,1
 sowed ,1
 famine ,6
 stock ,2
 canned ,1
 food ,6
 drinking ,1
 water ,3
 try ,3
 marking ,1
 approached ,1
 Trust ,4
 caressed ,1
 another ,12
 forecasts ,1
 volcanoes ,7
 start ,3
 erupt ,3
 parts ,1
 late ,3
 wanted ,4
 Unfortunately ,6
 wait ,13
 search ,1
 well ,9
 intercede ,3
 earthquakes ,22
 shock ,1
 consciences ,10
 sincere ,5
 hypocrites ,2
 draw ,3
 Whoever ,3
 Sanctified ,1
 moves ,2
 cursed ,1
 Let ,4
 infused ,3
 hatred ,3
 anguish ,1
 beautiful ,8
 prepared ,8
 Sons ,12
 mission ,9
 worthy ,6
 New ,1
 hypocrisy ,2
 side ,17
 wars ,10
 settle ,1
 happening ,20
 approaching ,5
 rain ,3
 Fathers ,5
 think ,20
 false ,18
 holy ,36
 persecuted ,18
 follow ,31
 detail ,1
 Yes ,7
 console ,9
 hindered ,1
 struggle ,4
 distancing ,1
 renew ,4
 cleanse ,2
 distance ,2
 carry ,12
 storms ,4
 started ,1
 asteroid ,2
 fast ,2
 impact ,1
 Japan ,11
 small ,7
 portion ,2
 warning ,15
 loud ,2
 roar ,2
 gather ,8
 cover ,1
 leaves ,2
 sure ,5
 passion ,3
 anyone ,5
 speaks ,2
 envy ,5
 jealousy ,2
 pride ,17
 feelings ,2
 charitable ,3
 Mexico ,4
 volcano ,3
 awakened ,2
 imminent ,10
 order ,5
 choice ,14
 Say ,1
 father ,6
 perdition ,8
 lilies ,1
 flowers ,2
 Stay ,1
 news ,5
 Colombia ,2
 forces ,2
 awakening ,2
 testimonies ,3
 due ,5
 Beware ,7
 agreements ,1
 signed ,2
 Adored ,12
 wonder ,7
 reasoned ,1
 beyond ,2
 inexplicable ,2
 carried ,1
 May ,7
 throne ,2
 inside ,5
 disappear ,5
 back ,13
 vigorously ,1
 scourge ,2
 ambush ,1
 weak ,3
 calls ,2
 body ,12
 eradicate ,1
 disease ,10
 cure ,4
 immaculate ,10
 put ,19
 state ,4
 sleep ,3
 catapulted ,1
 appear ,7
 month ,3
 crowd ,1
 pilgrims ,2
 live ,32
 tied ,12
 material ,3
 righteous ,3
 read ,7
 sea ,3
 shake ,11
 crosses ,2
 arm ,5
 immense ,9
 difficulties ,8
 altar ,4
 homeland ,1
 maternal ,27
 Australia ,1
 saying ,2
 letter ,1
 wrist ,1
 Mothers ,2
 constant ,4
 abandons ,1
 Victorious ,1
 keeps ,2
 anticipates ,2
 merciful ,11
 announcement ,2
 striking ,2
 divine ,4
 announce ,5
 catastrophes ,3
 Another ,2
 fervor ,1
 Peru ,1
 disbelief ,1
 stronger ,25
 cant ,1
 Continue ,4
 stopping ,2
 Todays ,1
 Pure ,1
 retreat ,2
 Sicily ,2
 invite ,6
 repentance ,2
 whole ,7
 lay ,4
 bare ,2
 goodness ,1
 endure ,3
 terrible ,13
 enough ,7
 reign ,4
 triggering ,1
 particular ,7
 terrorism ,4
 Finally ,2
 bliss ,1
 sweetness ,3
 recommend ,3
 unbaptized ,3
 adults ,3
 arrives ,6
 institution ,2
 sorry ,1
 bad ,7
 torn ,4
 bay ,1
 southern ,1
 apart ,5
 incessantly ,2
 Spain ,8
 respite ,1
 discover ,1
 constantly ,1
 Devout ,2
 makes ,3
 persons ,4
 sisters ,1
 anointed ,3
 abandon ,12
 career ,3
 thing ,7
 matters ,2
 unique ,4
 YES ,1
 sacred ,11
 scriptures ,5
 Peter ,4
 teach ,12
 catechism ,1
 Devil ,1
 exists ,7
 explain ,2
 crafty ,1
 angel ,1
 hell ,7
 Protestantism ,1
 pressing ,1
 living ,7
 wont ,2
 conceived ,1
 prelates ,2
 Gospel ,43
 daily ,2
 shield ,1
 whenever ,1
 dead ,8
 seas ,5
 communion ,5
 truce ,1
 dividing ,1
 trap ,4
 loves ,34
 tsunamis ,2
 avalanches ,2
 waste ,11
 China ,7
 United ,7
 States ,7
 involved ,3
 tonight ,3
 reunite ,3
 glorified ,1
 Pride ,1
 haughtiness ,2
 ruining ,1
 Welcome ,1
 lovingly ,1
 judge ,9
 Leave ,3
 apostasy ,10
 continues ,9
 scourged ,2
 Have ,6
 Priests ,2
 enemies ,1
 instructions ,6
 temptation ,4
 attentive ,4
 worldliness ,1
 show ,4
 blessings ,3
 Ghost ,1
 obscured ,1
 erase ,1
 ever ,22
 courageous ,10
 power ,3
 chemical ,1
 weapons ,4
 unabated ,1
 saddened ,3
 awaits ,11
 affected ,1
 fireballs ,1
 sinners ,4
 objects ,7
 sadness ,7
 caused ,5
 sinful ,3
 expression ,1
 torment ,3
 split ,1
 bigger ,1
 wish ,2
 united ,30
 teachings ,1
 flock ,15
 friends ,1
 joyful ,5
 filled ,8
 antichrist ,9
 made ,11
 entrance ,2
 palace ,1
 nuclear ,1
 surrounds ,3
 ward ,1
 sensational ,2
 reaching ,2
 apex ,1
 discernment ,9
 error ,1
 failure ,1
 consecrate ,5
 per ,1
 request ,2
 Fatima ,6
 serious ,6
 comfort ,11
 responded ,1
 spotless ,1
 man ,14
 abomination ,5
 restless ,1
 big ,5
 changes ,6
 Rejoice ,2
 They ,3
 humiliate ,1
 replace ,2
 thunder ,4
 sometimes ,9
 group ,1
 ears ,1
 theologians ,3
 interpret ,1
 represents ,1
 Poland ,1
 Prayer ,1
 distracted ,5
 chant ,1
 sweet ,5
 music ,1
 reflect ,4
 persist ,2
 chance ,4
 nourish ,3
 immersing ,1
 Join ,2
 completely ,4
 Ask ,5
 purified ,5
 Prepare ,2
 limited ,1
 knocks ,1
 Reflect ,1
 welcome ,13
 Still ,1
 Forgive ,4
 discouraged ,3
 angry ,3
 become ,3
 weaker ,1
 weakness ,2
 creep ,1
 walk ,7
 narrow ,2
 allowed ,7
 Himself ,1
 crucified ,4
 Instead ,3
 widest ,1
 everywhere ,7
 What ,11
 Earthquakes ,2
 floods ,4
 flee ,6
 These ,3
 weaken ,1
 solving ,1
 mistake ,3
 demonstrating ,1
 period ,15
 Lent ,3
 inertia ,1
 science ,2
 beware ,3
 manipulate ,2
 birth ,2
 fake ,1
 democracies ,1
 immersed ,2
 dictatorship ,3
 safely ,1
 meteorite ,1
 arrive ,33
 Look ,11
 favorite ,11
 advice ,2
 break ,3
 embraced ,4
 defeated ,3
 Sacred ,3
 recollected ,1
 hear ,15
 forward ,9
 Pharisees ,3
 abound ,1
 evening ,4
 fulfilled ,9
 brought ,3
 satiate ,2
 Announce ,3
 pure ,7
 Confess ,3
 eat ,6
 delay ,1
 strongly ,11
 returns ,4
 eternal ,15
 remission ,1
 past ,2
 thus ,3
 physical ,2
 crucifixion ,2
 spent ,1
 five ,1
 hour ,5
 expiring ,1
 though ,2
 spit ,1
 insulted ,1
 gesture ,1
 since ,1
 alive ,5
 recited ,2
 mountain ,1
 Thursday ,1
 expressly ,1
 requested ,2
 Priesthood ,2
 graves ,1
 selfishness ,2
 slander ,1
 wickedness ,4
 resurrect ,1
 Make ,4
 cenacles ,18
 Obey ,1
 gospel ,3
 Preach ,1
 available ,3
 used ,2
 surround ,2
 begets ,2
 Embrace ,1
 conquered ,1
 depends ,1
 heresy ,5
 carnal ,1
 taught ,2
 listened ,6
 experiencing ,5
 serves ,1
 immensely ,2
 woe ,6
 righteousness ,1
 point ,3
 legacy ,1
 extended ,1
 whose ,2
 abyss ,4
 follows ,2
 meet ,5
 guard ,3
 appearances ,1
 announcements ,1
 consecration ,3
 occur ,2
 attacks ,3
 proclaim ,1
 enjoy ,3
 People ,2
 loved ,2
 tainted ,1
 corruption ,1
 pastors ,2
 descends ,4
 From ,1
 removed ,2
 sacramentally ,1
 dwell ,1
 adorn ,1
 lighting ,1
 candle ,1
 Get ,5
 All ,10
 foretold ,8
 union ,4
 works ,2
 minds ,11
 putting ,5
 doubts ,4
 fears ,4
 led ,2
 freed ,1
 charity ,10
 unity ,1
 worse ,7
 jealously ,1
 appeal ,2
 precedence ,1
 feeling ,5
 move ,3
 Pay ,2
 doctrines ,1
 tightly ,1
 Maternal ,10
 atheists ,1
 religious ,1
 unrepentant ,1
 weight ,1
 second ,6
 delightful ,1
 Body ,5
 denial ,1
 persecutions ,2
 excommunicated ,1
 Woe ,2
 mock ,2
 walls ,2
 weeds ,1
 Modernism ,1
 driving ,2
 Argentina ,1
 dark ,3
 ruin ,2
 beginning ,5
 Sodom ,1
 Gomorrah ,1
 chains ,1
 flames ,3
 raise ,2
 praise ,3
 sing ,3
 modernist ,3
 seems ,3
 Little ,1
 remove ,8
 satans ,1
 deception ,2
 gifts ,5
 anchor ,2
 wonderful ,5
 bread ,4
 Germany ,2
 nervous ,1
 uneasy ,1
 sister ,2
 wife ,1
 presentation ,1
 stick ,1
 Mass ,9
 ripe ,4
 angelic ,1
 hosts ,1
 darlings ,3
 test ,3
 materially ,1
 build ,2
 highest ,2
 aspiration ,1
 rather ,4
 purifying ,2
 eating ,1
 precedes ,1
 instant ,2
 Iceland ,1
 stars ,2
 merge ,1
 forming ,1
 firm ,5
 nails ,1
 driven ,1
 heat ,2
 anticipate ,5
 awake ,3
 forgiveness ,13
 sacrifice ,1
 cunning ,7
 benedict ,1
 dedication ,1
 voice ,8
 dumb ,1
 challenged ,1
 Behold ,5
 instill ,1
 exalted ,1
 Justice ,1
 offended ,1
 bearers ,1
 Each ,1
 narrowest ,2
 beating ,1
 beat ,5
 pursue ,1
 holiness ,8
 within ,8
 destroy ,7
 creating ,4
 pitting ,1
 falling ,4
 Selfishness ,1
 astray ,1
 divulged ,1
 daughters ,1
 heavens ,9
 proud ,5
 priority ,1
 treasures ,2
 trying ,2
 Korea ,1
 road ,8
 wanting ,1
 advise ,2
